Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.7553550702050956,0.8691116557756521,6.016453085281109,0.9953073463268366,0.06724137931034482,2.83,1.71
KNN,0.897849043218871,0.9475489661325535,6.2639619036088625,0.9960419790104947,0.06628352490421455,2.93,1.72
KNN with Means,0.7854120192459865,0.8862347427436968,6.285945384867862,0.9961769115442279,0.06436781609195402,2.95,1.76
KNN with Z-Score,0.7773337123826966,0.881665306328142,6.271533173720263,0.9959970014992504,0.06704980842911877,2.93,1.52
KNN Baseline,0.6339028432250233,0.7961801575177714,6.240764901612842,0.9960419790104947,0.06283524904214559,2.93,1.72
SVD Plus Plus,0.63766474871007,0.7985391341130815,6.05977328109729,0.9952923538230884,0.06915708812260536,2.86,1.73
Non-Negative Matrix Factorization,4.499447059364719,2.1211900101982186,6.369231195019817,0.9959070464767616,0.06340996168582375,2.96,1.87
Co-clustering,1.4759030036442653,1.214867483985091,6.271163311656702,0.9960119940029984,0.06628352490421455,2.93,1.66
Normal Predictor,5.940991283500572,2.4374148771804465,6.205175441237598,0.9956221889055472,0.07088122605363983,2.93,1.67
Baseline,1.9728778752641707,1.4045917112329016,5.760824024775007,0.994047976011994,0.06590038314176244,2.67,1.69
KFN,1.1651106494673633,1.0794029134050747,6.259829578537143,0.995832083958021,0.06532567049808428,2.94,1.62
KNNOFN,0.8763637627175515,0.9361430247123307,6.147768840934204,0.9955472263868066,0.06417624521072797,2.9,1.84
KNNOFNFN,1.0551705704424932,1.0272149582451051,6.105488385401701,0.9956221889055472,0.06781609195402297,2.89,1.66
SVD-KNN Hybrid,0.6783055460234446,0.8235930706504545,6.194663252365654,0.9958470764617691,0.0689655172413793,2.9,1.66
